ARBLONN_LONN_KONTANT_INNRAPP__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_KONTANT__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_NATURAL__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_OVERTID_INNRAPP__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_OVERTID_TIMER__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_OVERTID__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_SLUTTVEDERLAG__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_TIME_ANTALL_INNRAPP__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_TIME_ANTALL__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_TIME_INNRAPP__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_TIME__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_UREGTIL_ARBEIDET__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_LONN_UREGTIL_UARBEIDET__14_0, ident.UnitType: JOBB, measure.UnitType: None, measure.format: None
ARBLONN_PERS_ALDER__12_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_BOSETT_STATUS__12_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_BOTID_FORST__12_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_BOTID_SISTE__12_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_DNR__12_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_KJOENN__12_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_KOMMNR_KILDE__12_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_KOMMNR__12_0, ident.UnitType: PERSON, measure.UnitType: KOMMUNE, measure.format: None
ARBLONN_PERS_SUM_ARBEIDSTID__12_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBLONN_PERS_SUM_STILLINGSPST__12_1, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBSOEK1992FDT_STONAD__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBSOEK1992FDT_TILTAK3__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBSOEK1992FDT_TILTAK5__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
ARBSOEK2001FDT_HOVED__1_0, ident.UnitType: PERSON, measure.UnitType: None, measure.format: None
